"Site","Date","Acetaminophen","Amantadine","AzelaicAcid","Bamethan","Bupropion","Caffeine","Carbamazepine","Cetirizine","Citalopram","Desipramine","DesvenlafaxineODesmethylVenlafaxine","Dexpanthenol","Diltiazem","Diphenhydramine","Dopamine","Fexofenadine","Flecainide","Fluconazole","Gabapentin","Gemfibrozil","Irbesartan","Lamotrigine","Levetiracetam","Lidocaine","Losartan","Metformin","Methocarbamol","Metoprolol","Nadolol","Naproxen","Oxcarbazepine","Propranolol","Protriptyline","Sertraline","Sulfamethoxazole","Sulfapyridine","Trimethoprim","Venlafaxine","1011Dihydro10hydroxyCarbamazepine","2Ethyl2phenylmalonamide","Benzoylecgonine","HydroxyBupropion","N4Acetylsulfamethoxazole","RitalinicAcid","4Chloro2methylphenoxyaceticAcidMCPA","24DichlorophenoxyaceticAcid24D","AbscisicAcid","Ametryn","Atrazine","Carbaryl","Carbendazim","Clothianidin","Diuron","EthylButylacetylaminopropionate","Imazapyr","Imidacloprid","Mecoprop","Metalaxyl","Metolachlor","Monuron","Prometon","Propazine","Simazine","Thiamethoxam","Atrazine2hydroxy","Atrazinedesethyl","Atrazinedesisopropyl","MetolachlorEthaneSulfonicAcidMetolachlorESA","MetolachlorOxanilicAcidMetolachlorOA","2Hydroxybenzothiazole","5Methyl1Hbenzotriazole","1HBenzotriazole","Benzophenone","Benzophenone3Oxybenzone","Benzothiazole","NNDiethyl3methylbenzamideDEET","Sucralose","Triclosan","Galaxolidone"
"Oneida Creek","5/27/19",NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.5,18,NA,10,NA,79,NA,5,NA,NA,NA,NA,NA,NA,30.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.5,NA,NA,NA,NA,NA,123.5,29.5,26.5,95.5,22.5,NA,44,NA,70,NA,164.5,NA,260.5,NA,77
"Oriskany Creek","9/1/18",NA,17.5,NA,NA,13,NA,4,27,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.5,63.5,NA,12,NA,NA,NA,6.5,NA,NA,NA,NA,NA,NA,33,NA,NA,18,NA,NA,NA,NA,NA,NA,36.5,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,122,27,NA,NA,41,NA,52,88,NA,NA,NA,NA,488.5,NA,290
"Oriskany Creek","9/21/18",NA,19,NA,NA,NA,NA,6,37,NA,NA,NA,NA,NA,NA,NA,42.5,NA,NA,NA,NA,32,85.5,NA,12,NA,NA,NA,NA,NA,146,NA,NA,NA,NA,32.5,NA,NA,16.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.5,NA,NA,NA,NA,NA,120.5,28,NA,133.5,30.5,NA,66,115.5,594.5,NA,192.5,NA,581,NA,62.5
"Oriskany Creek","5/6/19",NA,14.5,NA,NA,13,NA,2.5,19.5,8.5,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,32.5,29,NA,8.5,NA,62.5,NA,5,NA,NA,NA,NA,NA,23.5,29.5,NA,2.5,12.5,NA,NA,23.5,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,NA,NA,NA,NA,111.5,26.5,NA,1882,37,NA,43,NA,66.5,NA,164,NA,207,NA,180
"Oriskany Creek","5/27/19",NA,NA,NA,NA,NA,NA,NA,21.5,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,45.5,29,NA,NA,NA,97.5,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.5,NA,NA,99.5,NA,NA,NA,NA,1258.5,NA,NA,NA,NA,57.5,NA,NA,NA,NA,NA,108.5,26.5,NA,302.5,31,NA,43,NA,101.5,110.5,277.5,NA,215.5,NA,129
"Otselic River","9/1/18",NA,NA,NA,NA,NA,134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,36.5,18,NA,NA,NA,NA,NA,NA,NA,NA,195.5,NA,NA,NA,43
"Otselic River","9/21/18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,29,16.5,NA,903.5,NA,NA,NA,NA,285.5,NA,211.5,NA,NA,NA,38.5
"Otselic River","6/14/19",NA,NA,NA,NA,NA,509.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.5,NA,7,NA,63,NA,6,37,NA,NA,NA,7.5,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.5,NA,NA,NA,NA,NA,35,17,NA,186,NA,NA,NA,NA,69,NA,298,29,NA,NA,107.5
"Otselic River","7/8/19",NA,NA,61.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.5,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,40,19,NA,258.5,NA,NA,NA,NA,84,22,283,7,NA,NA,29
"Salmon Creek","9/1/18",NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.5,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,19,56.5,NA,NA,NA,NA,NA,425,87,34.5,977.5,98,NA,NA,NA,39,NA,254,NA,52,NA,470.5
